Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
2008-02,Volume,,1044.0,,,Million litres
1997-09,Price,0.2279,,,,Pounds per litre
2001-02,Price,0.1818,,,,Pounds per litre
1974-08,Price,0.054000000000000006,,,,Pounds per litre
2020-05,Protein,,,3.31,,Percentage
2012-02,Price,0.2893,,,,Pounds per litre
1985-08,Price,0.1522,,,,Pounds per litre
2000-12,Price,0.18239999999999998,,,,Pounds per litre
1996-08,Price,0.2687,,,,Pounds per litre
2009-03,Volume,,1122.0,,,Million litres
2011-12,Price,0.2933,,,,Pounds per litre
2000-01,Price,0.1677,,,,Pounds per litre
1973-07,Price,0.0421,,,,Pounds per litre
1984-07,Price,0.1427,,,,Pounds per litre
2011-01,Price,0.25780000000000003,,,,Pounds per litre
1995-07,Price,0.26030000000000003,,,,Pounds per litre
1972-06,Price,0.035699999999999996,,,,Pounds per litre
1995-11,Volume,,1129.0,,,Million litres
2010-11,Price,0.26170000000000004,,,,Pounds per litre
1983-06,Price,0.13449999999999998,,,,Pounds per litre
1996-01,Volume,,1200.0,,,Million litres
1994-06,Price,0.20170000000000002,,,,Pounds per litre
1971-05,Price,0.0322,,,,Pounds per litre
1996-12,Volume,,1106.0,,,Million litres
2020-10,Price,0.30010000000000003,,,,Pounds per litre
1982-05,Price,0.1376,,,,Pounds per litre
1993-05,Price,0.18100000000000002,,,,Pounds per litre
1997-02,Volume,,1064.0,,,Million litres
2008-09,Price,0.27,,,,Pounds per litre
2019-09,Price,0.2921,,,,Pounds per litre
1970-04,Price,0.0373,,,,Pounds per litre
1981-04,Price,0.1343,,,,Pounds per litre
2007-08,Price,0.2071,,,,Pounds per litre
1992-04,Price,0.1898,,,,Pounds per litre
1998-03,Volume,,1165.0,,,Million litres
2018-08,Price,0.2969,,,,Pounds per litre
1980-03,Price,0.128,,,,Pounds per litre
2006-07,Price,0.1718,,,,Pounds per litre
1999-04,Volume,,1242.0,,,Million litres
1991-03,Price,0.1843,,,,Pounds per litre
2017-07,Price,0.2788,,,,Pounds per litre
2002-09,Protein,,,3.38,,Percentage
1995-06,Price,0.23600000000000002,,,,Pounds per litre
